state,bit_pattern,num_bits,char
0,0x00000000,2,84
0,0x40000000,3,66
0,0x80000000,4,67
0,0x90000000,4,73
0,0xD0000000,4,83
0,0x60000000,5,76
0,0x70000000,5,68
0,0x78000000,5,72
0,0xA0000000,5,82
0,0xA8000000,5,78
0,0xB0000000,5,69
0,0xC0000000,5,70
0,0xC8000000,5,65
0,0xE0000000,5,77
0,0xE8000000,5,80
0,0xF0000000,5,87
0,0x6C000000,6,81
0,0xBC000000,6,71
0,0xF8000000,6,74
0,0x68000000,7,75
0,0xBA000000,7,85
0,0xFC000000,7,79
0,0x6A000000,8,54
0,0x6B000000,8,46
0,0xB8000000,8,86
0,0xFE000000,8,89
0,0xB9800000,9,50
0,0xFF800000,9,88
0,0xB9000000,10,90
0,0xFF000000,10,56
0,0xB9400000,11,49
0,0xB9600000,11,51
0,0xFF400000,12,52
0,0xFF500000,12,39
0,0xFF700000,12,32
0,0xFF600000,14,53
0,0xFF6C0000,14,48
0,0xFF660000,15,109
0,0xFF640000,16,99
0,0xFF680000,16,57
0,0xFF6A0000,16,97
0,0xFF6B0000,16,100
0,0xFF650000,17,115
0,0xFF658000,17,112
0,0xFF690000,17,40
0,0xFF698000,18,116
0,0xFF69C000,19,55
0,0xFF69E000,20,1
0,0xFF69F000,20,108
0,0x00000000,1,1
0,0x80000000,1,1
1,0x00000000,1,1
1,0x80000000,1,1
3,0x00000000,1,1
3,0x80000000,1,1
4,0x00000000,1,1
4,0x80000000,1,1
5,0x00000000,1,1
5,0x80000000,1,1
6,0x00000000,1,1
6,0x80000000,1,1
7,0x00000000,1,1
7,0x80000000,1,1
8,0x00000000,1,1
8,0x80000000,1,1
9,0x00000000,1,1
9,0x80000000,1,1
10,0x00000000,1,1
10,0x80000000,1,1
11,0x00000000,1,1
11,0x80000000,1,1
12,0x00000000,1,1
12,0x80000000,1,1
13,0x00000000,1,1
13,0x80000000,1,1
14,0x00000000,1,1
14,0x80000000,1,1
15,0x00000000,1,1
15,0x80000000,1,1
16,0x00000000,1,1
16,0x80000000,1,1
17,0x00000000,1,1
17,0x80000000,1,1
18,0x00000000,1,1
18,0x80000000,1,1
19,0x00000000,1,1
19,0x80000000,1,1
20,0x00000000,1,1
20,0x80000000,1,1
21,0x00000000,1,1
21,0x80000000,1,1
22,0x00000000,1,1
22,0x80000000,1,1
23,0x00000000,1,1
23,0x80000000,1,1
24,0x00000000,1,1
24,0x80000000,1,1
25,0x00000000,1,1
25,0x80000000,1,1
26,0x00000000,1,1
26,0x80000000,1,1
27,0x00000000,1,1
27,0x80000000,1,1
28,0x00000000,1,1
28,0x80000000,1,1
29,0x00000000,1,1
29,0x80000000,1,1
30,0x00000000,1,1
30,0x80000000,1,1
31,0x00000000,1,1
31,0x80000000,1,1
32,0x00000000,4,87
32,0x30000000,4,77
32,0x40000000,4,67
32,0x50000000,4,66
32,0x70000000,4,80
32,0x90000000,4,84
32,0xC0000000,4,78
32,0xF0000000,4,83
32,0x18000000,5,73
32,0x20000000,5,71
32,0x60000000,5,72
32,0x68000000,5,68
32,0x80000000,5,111
32,0x88000000,5,65
32,0xA0000000,5,116
32,0xB0000000,5,97
32,0xB8000000,5,70
32,0xD0000000,5,76
32,0xD8000000,5,82
32,0x2C000000,6,85
32,0xAC000000,6,79
32,0xE4000000,6,74
32,0xE8000000,6,69
32,0x10000000,7,102
32,0x12000000,7,81
32,0x16000000,7,86
32,0x28000000,7,0
32,0x2A000000,7,119
32,0xE0000000,7,50
32,0xE2000000,7,75
32,0xEC000000,7,89
32,0xEE000000,7,105
32,0x14000000,8,45
32,0xA9000000,8,49
32,0xA8000000,9,38
32,0xAA800000,9,88
32,0x15400000,10,114
32,0xA8800000,10,53
32,0xA8C00000,10,90
32,0xAA400000,10,57
32,0xAB400000,10,115
32,0xAB800000,10,52
32,0xABC00000,10,51
32,0x15000000,11,55
32,0x15800000,11,98
32,0x15C00000,11,121
32,0xAA000000,11,39
32,0xAB000000,11,54
32,0x15A00000,12,118
32,0x15B00000,12,100
32,0x15E00000,12,40
32,0xAA200000,12,32
32,0xAA300000,12,48
32,0xAB200000,12,110
32,0xAB300000,12,56
32,0x15300000,13,103
32,0x15F00000,13,117
32,0x15200000,14,43
32,0x15240000,14,46
32,0x15280000,14,1
32,0x152C0000,14,108
32,0x153C0000,14,109
32,0x15F80000,14,112
32,0x15380000,15,92
32,0x153A0000,15,47
32,0x15FE0000,15,101
